OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK__AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO,longitude,latitude,_source_layer_title,_source_layer_url
4045,S2012151279,15.0,Montgomery,0.0,None,Ramp 6 Fr Rp 3 (fr Md200 Eb) To Md650 Sb,RP,200.0,  ,0.03,0.0,0.05,Exit 13 Ramp 6 Fr Ramp 3 (fr Md 200 Eb) To Md 650 Sb,Exit 13 Ramp 06 Ramp 3 (fr Md 200 Eb) To Md 650 Sb,Urban,2.0,Principal Arterial Other Freeways and Expressways,15000RP00200  02SSMD13        06,15000RP00200--101306,2.0,South,2.0,F,0.0,10.16,100.0,0.0,100.0,0.0464,https://maps.roads.maryland.gov/itms_public/?stationid=S2012151279,,,1350.0,1351.0,1352.0,1393.0,1424.0,2560.0,2541.0,2542.0,,,1460.0,1461.0,1452.0,1493.0,1524.0,2740.0,2721.0,2702.0,,,,,,,NO ERROR,,,,,,,,,,,2,10.16,100,0,100,N/A,N/A,"1,350","1,351","1,352","1,393","1,424","2,560","2,541","2,542",N/A,N/A,"1,460","1,461","1,452","1,493","1,524","2,740","2,721","2,702",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.99982317308564,39.08772079637016,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4048,B2792,15.0,Montgomery,0.0,None,Connecticut Ave,MD,185.0,  ,0.1,0.0,0.6,Md185-.10 Mi N Of Wash Dc Line,Md 185e To Md 191,Urban,3.0,Principal Arterial Other,15000MD00185  01NN**************,15000MD00185--1-----,1.0,South,6.0,C,0.0,7.5,58.22,51.67,48.33,8.3089,https://maps.roads.maryland.gov/itms_public/?stationid=B2792,37810.0,37961.0,37662.0,37030.0,36921.0,37882.0,37060.0,37951.0,37612.0,37940.0,40460.0,41001.0,40682.0,39990.0,39511.0,40532.0,39650.0,40611.0,40252.0,40220.0,,,,,,,NO ERROR,,,,,,,,,,,6,7.5,58.22,51.67,48.33,"37,810","37,961","37,662","37,030","36,921","37,882","37,060","37,951","37,612","37,940","40,460","41,001","40,682","39,990","39,511","40,532","39,650","40,611","40,252","40,220",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.0770806662588,38.969522834626616,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4056,S2011160004,16.0,Prince George's,0.0,None,Ramp 6 Fr Is 95 Eb To Md 414 Sb,RP,95.0,  ,0.21,0.19,0.22,Exit 4 Ramp 6 Fr Is 95 Eb To Md 414 Sb,Exit 4  Ramp 06 Ramp 10 Fr Ramp 6 (fr Is 95) To Md 414 To St Barnabas Rd,Urban,1.0,Interstate,16000RP00095  02EEIS4         06,16000RP00095--100406,2.0,South,2.0,F,0.0,8.0,100.0,0.0,100.0,0.0568,https://maps.roads.maryland.gov/itms_public/?stationid=S2011160004,,4240.0,4261.0,4302.0,4303.0,4414.0,5050.0,5171.0,5142.0,5183.0,,4490.0,4521.0,4562.0,4523.0,4644.0,5300.0,5381.0,5352.0,5393.0,,,,,,,NO ERROR,,,,,,,,,,,2,8,100,0,100,N/A,"4,240","4,261","4,302","4,303","4,414","5,050","5,171","5,142","5,183",N/A,"4,490","4,521","4,562","4,523","4,644","5,300","5,381","5,352","5,393",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.97348206624886,38.80601792522906,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4057,S2012161211,16.0,Prince George's,0.0,None,Yellowwood La                           ,CO,5928.0,  ,0.09,0.0,0.52,Yellowwood La - .10 Mi West Of Lottsford Vista Rd,Lottsford Vista Rd To Ardwick Ardmore Rd,Urban,5.0,Major Collector,16000CO05928  01WW**************,16000CO05928--1-----,1.0,East,2.0,F,0.0,8.81,61.94,50.28,49.72,0.8941,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161211,,,4130.0,4141.0,4132.0,4243.0,4324.0,4435.0,4710.0,4711.0,,,4460.0,4471.0,4422.0,4543.0,4634.0,4705.0,4990.0,5181.0,,,,,,,NO ERROR,,,,,,,,,,,2,8.81,61.94,50.28,49.72,N/A,N/A,"4,130","4,141","4,132","4,243","4,324","4,435","4,710","4,711",N/A,N/A,"4,460","4,471","4,422","4,543","4,634","4,705","4,990","5,181",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.82364970103465,38.93051565560118,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4059,S2010160010,16.0,Prince George's,0.0,None,Ramp 9 Fr Auth Rd Md 535a To Rp 1,RP,95.0,  ,0.05,0.0,0.152,Exit 7 Ramp 9 Fr Auth Rd To Ramp 1(to Is 95 Wb),Exit 7  Ramp 09 Auth Pl (back) To Ramp 1 Fr Md 5 Nb To Is 95 Sb (wb),Urban,1.0,Interstate,16000RP00095  02SSIS7         09,16000RP00095--100709,2.0,West,1.0,F,0.0,10.6,100.0,0.0,100.0,0.0935,https://maps.roads.maryland.gov/itms_public/?stationid=S2010160010,1510.0,1511.0,1522.0,1543.0,1544.0,1585.0,1625.0,1665.0,1665.0,1685.0,1600.0,1601.0,1612.0,1643.0,1624.0,1665.0,1715.0,1735.0,1735.0,1755.0,,,,,,,NO ERROR,,,,,,,,,,,1,10.6,100,0,100,"1,510","1,511","1,522","1,543","1,544","1,585","1,625","1,665","1,665","1,685","1,600","1,601","1,612","1,643","1,624","1,665","1,715","1,735","1,735","1,755",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.91815696319539,38.82182992214285,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4063,B2785,15.0,Montgomery,0.0,None,Layhill Rd,MD,182.0,  ,0.3,0.21,0.71,Md182-.30 Mi N Of Md 97,Glenallen Rd To Briggs Rd,Urban,3.0,Principal Arterial Other,15000MD00182  01NN**************,15000MD00182--1-----,1.0,North,5.0,F,0.0,8.08,67.31,51.98,48.02,4.309,https://maps.roads.maryland.gov/itms_public/?stationid=B2785,22452.0,22710.0,17940.0,17981.0,17932.0,21390.0,21801.0,22322.0,22660.0,23611.0,24022.0,24530.0,19380.0,19421.0,19192.0,22890.0,23331.0,23892.0,24250.0,24021.0,,,,,,,NO ERROR,,,,,,,,,,,5,8.08,67.31,51.98,48.02,"22,452","22,710","17,940","17,981","17,932","21,390","21,801","22,322","22,660","23,611","24,022","24,530","19,380","19,421","19,192","22,890","23,331","23,892","24,250","24,021",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.04928701684527,39.0641411544387,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4069,B3192,16.0,Prince George's,0.0,None,Landover Rd,MD,202.0,  ,10.77,10.02,10.97,Md202-.20 Mi S Of Md704,Brightseat Rd To Md 704,Urban,3.0,Principal Arterial Other,16000MD00202  01NN**************,16000MD00202--1-----,1.0,South,6.0,C,0.0,7.94,58.71,48.59,51.41,17.3479,https://maps.roads.maryland.gov/itms_public/?stationid=B3192,39470.0,39631.0,39312.0,42800.0,42671.0,43782.0,46590.0,47711.0,47282.0,50030.0,42230.0,42801.0,42462.0,46220.0,45661.0,46852.0,49850.0,51051.0,50592.0,53030.0,,,,,,,NO ERROR,,,,,,,,,,,6,7.94,58.71,48.59,51.41,"39,470","39,631","39,312","42,800","42,671","43,782","46,590","47,711","47,282","50,030","42,230","42,801","42,462","46,220","45,661","46,852","49,850","51,051","50,592","53,030",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.87111885187556,38.92480477839903,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4073,S1997160083,16.0,Prince George's,0.0,None,Ramp 3 Fr Md 202 Eb To Is 95 Nb,RP,95.0,  ,0.1,0.0,0.21,Exit 17 Ramp 3 Fr Md 202 Eb To Is 95 Nb,Exit 17 Ramp 03 Landover Rd To Capital Beltway,Urban,1.0,Interstate,16000RP00095  02SSIS17        03,16000RP00095--101703,2.0,North,1.0,F,0.0,6.92,100.0,100.0,0.0,0.2408,https://maps.roads.maryland.gov/itms_public/?stationid=S1997160083,2960.0,2961.0,2982.0,3013.0,3014.0,3095.0,3165.0,3245.0,3120.0,3141.0,3140.0,3141.0,3162.0,3193.0,3174.0,3255.0,3325.0,3385.0,3250.0,3271.0,,,,,,,NO ERROR,,,,,,,,,,,1,6.92,100,100,0,"2,960","2,961","2,982","3,013","3,014","3,095","3,165","3,245","3,120","3,141","3,140","3,141","3,162","3,193","3,174","3,255","3,325","3,385","3,250","3,271",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.84975585979706,38.91613909743738,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4074,B160119,16.0,Prince George's,0.0,None,Arena Dr,CO,5342.0,  ,0.33,0.0,0.86,Arena Dr-.10 Mi W Of Largo Center Dr,Md 202 To Md 202f (ahead),Urban,4.0,Minor Arterial,16000CO05342  01WW**************,16000CO05342--1-----,1.0,East,6.0,F,0.0,9.53,68.48,56.53,43.47,4.2066,https://maps.roads.maryland.gov/itms_public/?stationid=B160119,11821.0,11872.0,13440.0,13471.0,13432.0,14050.0,14321.0,14672.0,13400.0,13401.0,12651.0,12822.0,14520.0,14551.0,14372.0,15030.0,15321.0,15702.0,14340.0,14211.0,22.0,12284.0,874.0,35.0,173.0,13.0,NO ERROR,186.0,,,0.00164167,0.91664801,0.06521901,0.00261175,0.01290948,0.00097008,0.01387956,6,9.53,68.48,56.53,43.47,"11,821","11,872","13,440","13,471","13,432","14,050","14,321","14,672","13,400","13,401","12,651","12,822","14,520","14,551","14,372","15,030","15,321","15,702","14,340","14,211",22,"12,284",35,874,173,13,186,-76.83935618502537,38.90331481548518,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4079,B3350,16.0,Prince George's,0.0,None,No Name,IS,95.0,  ,29.5,28.54,30.67,Is95-.10 Mi N Of Old Gunpowder Rd,Md 212 To Md 200,Urban,1.0,Interstate,16000IS00095  01NN**************,16000IS00095--1-----,1.0,North,10.0,C,1.0,6.49,51.46,48.01,51.99,167.6726,https://maps.roads.maryland.gov/itms_public/?stationid=B3350,183961.0,184152.0,182950.0,184601.0,192190.0,196801.0,214420.0,219571.0,218252.0,215670.0,195001.0,195202.0,193930.0,195681.0,201800.0,206641.0,225140.0,228351.0,226982.0,224300.0,245.0,171796.0,23786.0,2506.0,6821.0,10516.0,NO ERROR,17337.0,,,0.00113599,0.79656883,0.11028887,0.0116196,0.03162702,0.04875968,0.0803867,10,6.49,51.46,48.01,51.99,"183,961","184,152","182,950","184,601","192,190","196,801","214,420","219,571","218,252","215,670","195,001","195,202","193,930","195,681","201,800","206,641","225,140","228,351","226,982","224,300",245,"171,796","2,506","23,786","6,821","10,516","17,337",-76.91949585002408,39.06131607442092,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4080,S2012161097,16.0,Prince George's,0.0,None,Princess Garden Pkwy,CO,300.0,  ,0.08,0.0,1.34,Princess Garden Pkwy - .10 Mi North Of Md 450,Annapolis Rd To Good Luck Rd,Urban,5.0,Major Collector,16000CO00300  01NN**************,16000CO00300--1-----,1.0,South,3.0,F,0.0,7.96,50.98,41.75,58.25,4.5002,https://maps.roads.maryland.gov/itms_public/?stationid=S2012161097,,,8450.0,8471.0,8452.0,8673.0,8844.0,9065.0,9200.0,9201.0,,,9130.0,9151.0,9042.0,9283.0,9464.0,9615.0,9750.0,10121.0,,,,,,,NO ERROR,,,,,,,,,,,3,7.96,50.98,41.75,58.25,N/A,N/A,"8,450","8,471","8,452","8,673","8,844","9,065","9,200","9,201",N/A,N/A,"9,130","9,151","9,042","9,283","9,464","9,615","9,750","10,121",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.86371365989952,38.96234587670752,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4081,S2011020790,2.0,Anne Arundel,0.0,None,Chapelgate Dr                           ,CO,1074.0,  ,0.72,0.0,0.75,Chapelgate Dr - Between Waugh Chapel Rd & Beltram Ct,Williamsburg La To Waugh Chapel Rd,Urban,5.0,Major Collector,02000CO01074  01SS**************,02000CO01074--1-----,1.0,South,3.0,F,0.0,11.31,50.47,49.02,50.98,1.1393,https://maps.roads.maryland.gov/itms_public/?stationid=S2011020790,,3750.0,3721.0,3732.0,3723.0,3824.0,3905.0,4200.0,4161.0,4162.0,,4050.0,4021.0,4032.0,3983.0,4094.0,4195.0,4450.0,4411.0,4582.0,,,,,,,NO ERROR,,,,,,,,,,,3,11.31,50.47,49.02,50.98,N/A,"3,750","3,721","3,732","3,723","3,824","3,905","4,200","4,161","4,162",N/A,"4,050","4,021","4,032","3,983","4,094","4,195","4,450","4,411","4,582",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.70091020678585,39.064094140888805,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4083,S1999160182,16.0,Prince George's,0.0,None,Ramp 5 Fr Md 410 Sb To Ramp 4 (to Us 50),RP,50.0,  ,0.02,0.0,0.04,Exit 5 Ramp 5 Fr Md 410 Sb To Ramp 4 (to Us 50 Eb),Exit 5  Ramp 05 Veterans Pkwy To Ramp 4 Fr Md 410 Nb To Us 50 Eb,Urban,2.0,Principal Arterial Other Freeways and Expressways,16000RP00050  02EEUS5         05,16000RP00050--100505,2.0,East,1.0,F,0.0,9.13,100.0,100.0,0.0,0.1426,https://maps.roads.maryland.gov/itms_public/?stationid=S1999160182,,2330.0,2311.0,2322.0,9200.0,9441.0,9622.0,9853.0,9764.0,9765.0,,0.0,2501.0,2512.0,9840.0,10101.0,10302.0,10543.0,10454.0,10355.0,,,,,,,NO ERROR,,,,,,,,,,,1,9.13,100,100,0,N/A,"2,330","2,311","2,322","9,200","9,441","9,622","9,853","9,764","9,765",N/A,0,"2,501","2,512","9,840","10,101","10,302","10,543","10,454","10,355",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.88013270464158,38.94279564276254,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4084,P0049,16.0,Prince George's,0.0,None,Capital Beltway,IS,95.0,  ,5.64,4.33,7.3,Is 95 - 200ft South Of Temple Hill Rd Overpass (atr#49),Md 414 To Md 5,Urban,1.0,Interstate,16000IS00095  01NN**************,16000IS00095--1-----,1.0,South,8.0,C,1.0,6.84,51.06,50.81,49.19,190.5651,https://maps.roads.maryland.gov/itms_public/?stationid=P0049,147130.0,154159.0,155821.0,157732.0,150875.0,154496.0,157740.0,174800.0,164060.0,175790.0,153658.0,162453.0,163881.0,164923.0,157429.0,162226.0,157740.0,181790.0,170620.0,182820.0,,,,,,,NO ERROR,,,,,,,,,,,8,6.84,51.06,50.81,49.19,"147,130","154,159","155,821","157,732","150,875","154,496","157,740","174,800","164,060","175,790","153,658","162,453","163,881","164,923","157,429","162,226","157,740","181,790","170,620","182,820",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.94920947408424,38.81682875802889,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4095,B3131,16.0,Prince George's,0.0,None,Branch Ave,MD,5.0,  ,12.25,11.95,13.47,Md5-.30 Mi N Of Is95,Is 95 To Md 414,Urban,2.0,Principal Arterial Other Freeways and Expressways,16000MD00005  01NN**************,16000MD00005--1-----,1.0,South,6.0,C,3.0,7.17,62.17,52.48,47.52,39.585,https://maps.roads.maryland.gov/itms_public/?stationid=B3131,69070.0,69351.0,68802.0,67260.0,67061.0,68812.0,60320.0,61771.0,61222.0,71350.0,73910.0,74901.0,74312.0,72640.0,71761.0,73632.0,64540.0,66101.0,65512.0,75630.0,,,,,,,NO ERROR,,,,,,,,,,,6,7.17,62.17,52.48,47.52,"69,070","69,351","68,802","67,260","67,061","68,812","60,320","61,771","61,222","71,350","73,910","74,901","74,312","72,640","71,761","73,632","64,540","66,101","65,512","75,630",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.92215206950455,38.82337166171705,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4096,S2012150777,15.0,Montgomery,0.0,None,Glenallan Ave,CO,1114.0,  ,0.36,0.27,1.42,Glenallan Ave - .10 Mile East Of Md 182,Md 182 To Glenallen Ave (ahead),Urban,7.0,Local,15000CO01114  01EE**************,15000CO01114--1-----,1.0,West,3.0,F,0.0,9.07,58.77,49.27,50.73,4.3826,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150777,,,10070.0,10091.0,10062.0,10323.0,10524.0,10785.0,10320.0,10441.0,,,10880.0,10901.0,10772.0,11053.0,11264.0,11435.0,10940.0,11351.0,,,,,,,NO ERROR,,,,,,,,,,,3,9.07,58.77,49.27,50.73,N/A,N/A,"10,070","10,091","10,062","10,323","10,524","10,785","10,320","10,441",N/A,N/A,"10,880","10,901","10,772","11,053","11,264","11,435","10,940","11,351",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.04863282143457,39.062577389576944,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4097,S2007160055,16.0,Prince George's,0.0,None,Ramp 6 Fr Md 4 Eb To Old Crain Hwy Sb,RP,4.0,  ,0.21,0.18,0.22,Exit 3 Ramp 6 Fr Md 4 Eb To Old Crain Hwy Sb,Exit 3  Ramp 06 Ramp 3 Fr Ramp 6 To Old Crain Hwy To Old Crain Hwy,Urban,2.0,Principal Arterial Other Freeways and Expressways,16000RP00004  02SSMD3         06,16000RP00004--100306,2.0,South,1.0,C,0.0,12.54,100.0,0.0,100.0,0.0356,https://maps.roads.maryland.gov/itms_public/?stationid=S2007160055,2433.0,2444.0,2425.0,2380.0,2371.0,2432.0,2483.0,2544.0,2525.0,2440.0,2603.0,2644.0,2625.0,2570.0,2541.0,2602.0,2663.0,2724.0,2705.0,2590.0,,,,,,,NO ERROR,,,,,,,,,,,1,12.54,100,0,100,"2,433","2,444","2,425","2,380","2,371","2,432","2,483","2,544","2,525","2,440","2,603","2,644","2,625","2,570","2,541","2,602","2,663","2,724","2,705","2,590",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.76557772770875,38.80973461990609,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4099,S2000160211,16.0,Prince George's,0.0,None,Ramp 3 Fr Md 4 Eb To Is 95 Nb,RP,95.0,  ,0.1,0.0,0.25,Exit 11 Ramp 3 Fr Md 4 Eb To Is 95 Nb,Exit 11 Ramp 03 Pennsylvania Ave To Capital Beltway,Urban,1.0,Interstate,16000RP00095  02SSIS11        03,16000RP00095--101103,2.0,North,1.0,F,0.0,6.94,100.0,100.0,0.0,1.0232,https://maps.roads.maryland.gov/itms_public/?stationid=S2000160211,11240.0,11251.0,11312.0,11413.0,11404.0,11685.0,10940.0,11201.0,11132.0,11213.0,11910.0,11931.0,11992.0,12103.0,11974.0,12275.0,11490.0,11651.0,11582.0,11663.0,,,,,,,NO ERROR,,,,,,,,,,,1,6.94,100,100,0,"11,240","11,251","11,312","11,413","11,404","11,685","10,940","11,201","11,132","11,213","11,910","11,931","11,992","12,103","11,974","12,275","11,490","11,651","11,582","11,663",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.86570741767201,38.83820252029112,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4102,S2009150018,15.0,Montgomery,0.0,None,Ramp 5 Fr Gv 31 To Gv 6,RP,6.0,  ,0.1,0.0,0.2,Exit 2 Ramp 5 Fr Ericsson Rd Sb To Clara Barton Pkwy Eb,Exit 2  Ramp 05 Ericsson Rd To Clara Barton Pkwy,Urban,2.0,Principal Arterial Other Freeways and Expressways,15000RP00006  02EEGV2         05,15000RP00006--100205,2.0,East,1.0,F,0.0,31.32,100.0,100.0,0.0,0.0806,https://maps.roads.maryland.gov/itms_public/?stationid=S2009150018,,1141.0,1131.0,1132.0,1133.0,1060.0,1081.0,1112.0,1103.0,1104.0,,0.0,1221.0,1222.0,1213.0,1130.0,1161.0,1192.0,1183.0,1174.0,,,,,,,NO ERROR,,,,,,,,,,,1,31.32,100,100,0,N/A,"1,141","1,131","1,132","1,133","1,060","1,081","1,112","1,103","1,104",N/A,0,"1,221","1,222","1,213","1,130","1,161","1,192","1,183","1,174",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.15155650190016,38.97099011893721,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4103,S1999150038,15.0,Montgomery,0.0,None,Ramp 3 Fr Md 124 Eb To Is 270 Nb,RP,270.0,  ,0.05,0.0,0.18,Exit 11 Ramp 3 Fr Md 124 Eb To Is 270 Nb,Exit 11 Ramp 03 Quince Orchard Rd To Eisenhower Memorial Hwy,Urban,1.0,Interstate,15000RP00270  02NNIS11        03,15000RP00270--101103,2.0,North,1.0,F,0.0,8.44,100.0,100.0,0.0,0.4188,https://maps.roads.maryland.gov/itms_public/?stationid=S1999150038,5421.0,5432.0,5463.0,5514.0,5515.0,6080.0,6211.0,6362.0,6323.0,6374.0,5751.0,5762.0,5793.0,5854.0,5795.0,6380.0,6521.0,6622.0,6583.0,6634.0,,,,,,,NO ERROR,,,,,,,,,,,1,8.44,100,100,0,"5,421","5,432","5,463","5,514","5,515","6,080","6,211","6,362","6,323","6,374","5,751","5,762","5,793","5,854","5,795","6,380","6,521","6,622","6,583","6,634",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.21540953652462,39.149098659750905,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4108,S2012150826,15.0,Montgomery,0.0,None,Lyttonsville Rd,CO,3337.0,  ,0.05,0.0,0.55,Lyttonsville Rd - .10 Mi North Of Grubb Rd,Grubb Rd To Maine Ave,Urban,5.0,Major Collector,15000CO03337  01NN**************,15000CO03337--1-----,1.0,North,2.0,F,0.0,10.04,57.87,53.09,46.91,1.9202,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150826,,,8990.0,9011.0,8982.0,9223.0,9404.0,9635.0,9555.0,9565.0,,,9710.0,9731.0,9612.0,9873.0,10064.0,10215.0,10135.0,10525.0,,,,,,,NO ERROR,,,,,,,,,,,2,10.04,57.87,53.09,46.91,N/A,N/A,"8,990","9,011","8,982","9,223","9,404","9,635","9,555","9,565",N/A,N/A,"9,710","9,731","9,612","9,873","10,064","10,215","10,135","10,525",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.05411893528262,38.99576549624481,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4111,S2012151268,15.0,Montgomery,0.0,None,Ramp 5 Fr Md200a Sb To Shady Grove Rd Eb,RP,200.0,A ,0.24,0.0,0.27,Exit 1 Ramp 5 Fr Md 200a Sb To Shady Grove Rd Eb,Exit 1  Ramp 05 Md 200a Sb To Shady Grove Rd Eb,Urban,3.0,Principal Arterial Other,15000RP00200A 02SSMD1         05,15000RP00200A-100105,2.0,East,1.0,F,0.0,10.52,100.0,100.0,0.0,0.8378,https://maps.roads.maryland.gov/itms_public/?stationid=S2012151268,,,8080.0,8101.0,8082.0,8293.0,8454.0,8665.0,8500.0,8501.0,,,8730.0,8751.0,8652.0,8873.0,9054.0,9275.0,9100.0,9011.0,,,,,,,NO ERROR,,,,,,,,,,,1,10.52,100,100,0,N/A,N/A,"8,080","8,101","8,082","8,293","8,454","8,665","8,500","8,501",N/A,N/A,"8,730","8,751","8,652","8,873","9,054","9,275","9,100","9,011",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.16342503355249,39.1296160926155,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
4116,S1999160068,16.0,Prince George's,0.0,None,Ramp 6 Fr Md 212 Eb To Is 95 Sb,RP,95.0,  ,0.1,0.0,0.38,Exit 29 Ramp 6 Fr Md 212 Eb To Is 95 Sb,Exit 29 Ramp 06 Powder Mill Rd To No Name,Urban,1.0,Interstate,16000RP00095  02EEIS29        06,16000RP00095--102906,2.0,South,1.0,C,0.0,7.26,100.0,0.0,100.0,0.8655,https://maps.roads.maryland.gov/itms_public/?stationid=S1999160068,6030.0,6041.0,6072.0,6133.0,6134.0,5470.0,5591.0,5732.0,5703.0,6240.0,6390.0,6401.0,6442.0,6503.0,6444.0,5740.0,5871.0,5962.0,5933.0,6490.0,,,,,,,NO ERROR,,,,,,,,,,,1,7.26,100,0,100,"6,030","6,041","6,072","6,133","6,134","5,470","5,591","5,732","5,703","6,240","6,390","6,401","6,442","6,503","6,444","5,740","5,871","5,962","5,933","6,490",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-76.93395824010983,39.04806335345303,,https://mdgeodata.md.gov/imap/rest/services/Transportation/MD_AnnualAverageDailyTraffic/MapServer/0
